Master_Collection,Department_Number,Vendor_Number,VendorColor,Color_Code,Total_Inventory,Fabric,Color,Type,Factory Status,Factory Continent
MARA,5700,3365,3365CBNT,CBNT,1663,PERFORMANCE TEXTURED BOUCLE,NATURAL,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CBNT,CBNT,1663,PERFORMANCE TEXTURED BOUCLE,NATURAL,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CBNT,CBNT,1663,PERFORMANCE TEXTURED BOUCLE,NATURAL,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CBNT,CBNT,1663,PERFORMANCE TEXTURED BOUCLE,NATURAL,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CBNT,CBNT,1663,PERFORMANCE TEXTURED BOUCLE,NATURAL,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CBNT,CBNT,1663,PERFORMANCE TEXTURED BOUCLE,NATURAL,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CBSA,CBSA,1482.5,PERFORMANCE TEXTURED BOUCLE,SAND,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CLCF,CLCF,327,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CAFE,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CLCG,CLCG,301,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CARBON,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CLCK,CLCK,61,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,CHALK,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CLCM,CLCM,427,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHEAT,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CLGR,CLGR,800,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,GRAPHITE,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CLNC,CLNC,479,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NICKEL,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CLNV,CLNV,699,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,NAVY,FABRIC,DISC,NORTH AMERICA
GIANNA,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
ITALIA,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
MAXWELL,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
LUKE,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
MARA,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
LANCASTER,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
RENE,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
MARSDEN,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
MODENA,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
BELGIANS,5700,3365,3365CLWT,CLWT,879,PERENNIALS PERFORMANCE CLASSIC LINEN WEAVE,WHITE,FABRIC,DISC,NORTH AMERICA
LANCASTER,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
MARSDEN,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
MAXWELL,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
MODENA,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
GIANNA,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
ITALIA,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
MARA,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
RENE,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
BELGIANS,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
LUKE,5900,3365,3365COCO,COCO,27450,BROMPTON LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
LANCASTER,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
MARSDEN,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
MAXWELL,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
MODENA,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
GIANNA,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
ITALIA,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
MARA,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
RENE,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
BELGIANS,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
LUKE,5900,3365,3365CTBZ,CTBZ,26094,VENETO LEATHER,COCOA,LEATHER,Active,NORTH AMERICA
LANCASTER,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
MARSDEN,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
MAXWELL,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
MODENA,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
GIANNA,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
ITALIA,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
MARA,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
RENE,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
BELGIANS,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
LUKE,5900,3365,3365CTCM,CTCM,14972,VENETO LEATHER,CAMEL,LEATHER,Active,NORTH AMERICA
LANCASTER,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
MARSDEN,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
MAXWELL,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
MODENA,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
GIANNA,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
ITALIA,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
MARA,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
RENE,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
BELGIANS,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
LUKE,5900,3365,3365CTCN,CTCN,33533,VENETO LEATHER,CHESTNUT,LEATHER,Active,NORTH AMERICA
LANCASTER,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
MARSDEN,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
MAXWELL,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
MODENA,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
GIANNA,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
ITALIA,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
MARA,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
RENE,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
BELGIANS,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
LUKE,5900,3365,3365CTDV,CTDV,14402,VENETO LEATHER,TRUFFLE,LEATHER,Active,NORTH AMERICA
LANCASTER,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
MARSDEN,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
MAXWELL,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
MODENA,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
GIANNA,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
ITALIA,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
MARA,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
RENE,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
BELGIANS,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
LUKE,5900,3365,3365CTEB,CTEB,21180,VENETO LEATHER,EBONY,LEATHER,Active,NORTH AMERICA
LANCASTER,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
MARSDEN,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
MAXWELL,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
MODENA,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
GIANNA,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
ITALIA,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
MARA,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
RENE,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
BELGIANS,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
LUKE,5900,3365,3365CTEP,CTEP,3380,VENETO LEATHER,ESPRESSO,LEATHER,DISC,NORTH AMERICA
LANCASTER,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
MARSDEN,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
MAXWELL,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
MODENA,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
GIANNA,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
ITALIA,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
MARA,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
RENE,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
BELGIANS,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
LUKE,5900,3365,3365CTIC,CTIC,1697,VENETO LEATHER,PEBBLE,LEATHER,DISC,NORTH AMERICA
LANCASTER,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
MARSDEN,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
MAXWELL,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
MODENA,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
GIANNA,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
ITALIA,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
MARA,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
RENE,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
BELGIANS,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
LUKE,5900,3365,3365CTIV,CTIV,34393,VENETO LEATHER,IVORY,LEATHER,Active,NORTH AMERICA
LANCASTER,5900,3365,3365CTPT,CTPT,9070,VENETO LEATHER,PEWTER,LEATHER,Active,NORTH AMERICA
MARSDEN,5900,3365,3365CTPT,CTPT,9070,VENETO LEATHER,PEWTER,LEATHER,Active,NORTH AMERICA
MAXWELL,5900,3365,3365CTPT,CTPT,9070,VENETO LEATHER,PEWTER,LEATHER,Active,NORTH AMERICA
MODENA,5900,3365,3365CTPT,CTPT,9070,VENETO LEATHER,PEWTER,LEATHER,Active,NORTH AMERICA
GIANNA,5900,3365,3365CTPT,CTPT,9070,VENETO LEATHER,PEWTER,LEATHER,Active,NORTH AMERICA
ITALIA,5900,3365,3365CTPT,CTPT,9070,VENETO LEATHER,PEWTER,LEATHER,Active,NORTH AMERICA
MARA,5900,3365,3365CTPT,CTPT,9070,VENETO LEATHER,PEWTER,LEATHER,Active,NORTH AMERICA
RENE,5900,3365,3365CTPT,CTPT,9070,VENETO LEATHER,PEWTER,LEATHER,Active,NORTH AMERICA
